file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/controllers/WelcomeScreenController.java,concordia.soen6611.igo_tvm.controllers.WelcomeScreenController,class,12,13,1,12,8,1,0,19,0,0.6888889,0.0,0.0,5,0,4,1,0,0,4,0,0,0,9,0,0,9,0,0,2,0,0,63,0,0,2,1,1,18,0,7,7,17,1,0,0,1,142,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/ContrastManager.java,concordia.soen6611.igo_tvm.Services.ContrastManager,class,4,6,2,4,11,1,0,13,5,0.7,0.0,0.0,10,2,7,3,0,0,7,0,0,0,9,5,0,9,0,0,7,0,5,47,3,0,1,0,0,3,10,10,3,9,1,0,0,0,156,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/exceptions/AbstractCustomException.java,concordia.soen6611.igo_tvm.exceptions.AbstractCustomException,class,2,9,7,2,12,4,4,21,17,0.71666664,0.0,0.0,10,0,5,3,2,0,7,0,0,0,6,0,0,6,0,0,6,0,3,45,7,0,2,0,0,7,0,7,1,10,0,0,0,3,134,1025,1
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/exceptions/DatabaseException.java,concordia.soen6611.igo_tvm.exceptions.DatabaseException,class,1,2,1,1,2,5,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/PaymentSession.java,concordia.soen6611.igo_tvm.Services.PaymentSession,class,4,11,7,4,5,1,0,0,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,21,2,0,0,0,0,1,0,5,0,2,0,0,1,0,86,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/controllers/CardReloadAmountController.java,concordia.soen6611.igo_tvm.controllers.CardReloadAmountController,class,26,27,1,26,34,1,0,61,90,0.8980394,0.0,0.0,17,1,2,15,0,0,2,0,0,0,30,2,22,8,0,0,6,0,9,204,9,1,4,3,4,23,10,33,8,67,2,2,0,7,347,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/models/MetroRatePassProxy.java,concordia.soen6611.igo_tvm.models.MetroRatePassProxy,class,0,1,1,0,7,1,0,3,9,0.75,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,4,0,0,46,4,0,0,0,0,20,23,4,1,4,0,0,0,0,145,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/exceptions/UserException.java,concordia.soen6611.igo_tvm.exceptions.UserException,class,1,2,1,1,2,5,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/CardReloadService.java,concordia.soen6611.igo_tvm.Services.CardReloadService,class,3,4,1,3,5,1,0,5,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,3,24,2,0,0,1,0,2,1,1,0,1,3,0,0,1,126,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/controllers/CardReloadController.java,concordia.soen6611.igo_tvm.controllers.CardReloadController,class,30,31,1,30,23,1,0,63,9,0.8,0.0,0.0,10,0,4,6,0,0,4,0,0,0,15,1,4,11,0,0,6,0,2,172,5,0,2,3,4,38,2,26,0,42,3,0,0,11,302,1,0
